"","Site.name","Forest.Type","NDVI","Site.Age","Dec.NDVI","WS.NDVI","BS.NDVI","Frac.dec","LAI","LAI.corrected"
"66",17.4,"Deciduous",0.80291,136,0.80291,NA,NA,0.913284772806105,1.56,1.56
"67",17.5,"Deciduous",0.80794,148,0.80794,NA,NA,0.802627820622679,0.9,0.9
"68",17.6,"Deciduous",0.80151,72,0.80151,NA,NA,0.934661875204182,1.15,1.15
"69",18.1,"Black spruce",0.67164,125,NA,NA,0.67164,0,0.42,0.595
"70",18.2,"Deciduous",0.69135,175,NA,NA,0.69135,0.937859608745685,0.4,0.4
"71",19,"Deciduous",0.7544,60,NA,NA,0.7544,0.515326172386691,1.02,1.02
"72",20.1,"Black spruce",0.75631,75,NA,NA,0.75631,0.286096554799866,0.71,1.00583333333333
"73",20.2,"Black spruce",0.69211,63,NA,NA,0.69211,0.126774847870183,1.03,1.45916666666667
"74",20.3,"Black spruce",0.6404,73,NA,NA,0.6404,0.285918717801946,0.82,1.16166666666667
"75",21.1,"Black spruce",0.63294,73,NA,NA,0.63294,0.16747572815534,0.57,0.8075
"76",21.2,"Black spruce",0.76026,106,NA,0.76026,NA,0.0635812509241461,1.55,2.19583333333333
"77",22.1,"Deciduous",0.82725,60,0.82725,NA,NA,0.855065980764929,1.02,1.02
"78",22.2,"White spruce",0.82622,70,NA,0.82622,NA,0.404393920040874,1.67,2.36583333333333
"79",22.3,"Deciduous",0.84583,50,0.84583,NA,NA,1,1.78,1.78
"80",23.2,"Deciduous",0.75837,83,0.75837,NA,NA,0.510725229826353,1.54,1.54
"81",23.3,"Deciduous",0.81407,76,0.81407,NA,NA,0.714170367379895,1.6,1.6
"82",24.1,"White spruce",0.68558,83,NA,0.68558,NA,0.229054977399348,2.2,3.11666666666667
"83",24.2,"Deciduous",0.76636,142,0.76636,NA,NA,0.684026794980659,3.01,3.01
"84",24.3,"White spruce",0.6744,134,NA,0.6744,NA,0.461455608555162,2.09,2.96083333333333
"85",25.1,"White spruce",0.7677,75,NA,0.7677,NA,0.310487628118853,1.78,2.52166666666667
"86",25.2,"Deciduous",0.7904,94,0.7904,NA,NA,0.886330935251799,1.8,1.8
"87",25.3,"White spruce",0.78839,140,0.78839,NA,NA,0,2.03,2.87583333333333
"88",27.1,"Black spruce",0.75932,84,NA,NA,0.75932,0.345744680851064,3.83,5.42583333333333
"89",27.2,"Black spruce",0.7559,66,NA,NA,0.7559,0.203386103781882,0.73,1.03416666666667
"90",27.3,"Black spruce",0.76477,85,NA,NA,0.76477,0.431627906976744,1.26,1.785
"91",29.1,"White spruce",0.73551,65,NA,0.73551,NA,0.4,1.66,2.35166666666667
"92",29.2,"Deciduous",0.82987,52,0.82987,NA,NA,0.753696295007828,2.91,2.91
"93",29.3,"White spruce",0.80783,52,NA,0.80783,NA,0.471452067669173,1.5,2.125
"94",29.4,"White spruce",0.7939,105,0.7939,NA,NA,0.5,1.04,1.47333333333333
