"","Site","Site.Age","Forest.Type","Canopy","variable","value"
"116",4.2,60,"D","Lower canopy","White spruce",NA
"117",4.3,71,"D","Lower canopy","White spruce",NA
"118",4.4,58,"D","Lower canopy","White spruce",NA
"119",5,5,"recent fire","Lower canopy","White spruce",NA
"120",5.5,85,"BS","Lower canopy","White spruce",NA
"121",5.6,92,"BS","Lower canopy","White spruce",NA
"122",6,52,"WS","Lower canopy","White spruce",NA
"123",6.1,77,"D","Lower canopy","White spruce",NA
"124",6.2,90,"D","Lower canopy","White spruce",24.16
"125",6.3,87,"D","Lower canopy","White spruce",NA
"126",6.4,89,"D","Lower canopy","White spruce",26.3
"127",7,177,"WS","Lower canopy","White spruce",9.16
"128",7.1,85,"D","Lower canopy","White spruce",22.5
"129",7.2,80,"D","Lower canopy","White spruce",NA
"130",7.5,102,"BS","Lower canopy","White spruce",NA
"131",7.6,114,"BS","Lower canopy","White spruce",NA
"132",8,19,"Early recovery","Lower canopy","White spruce",6.83
"133",9,76,"BS","Lower canopy","White spruce",NA
"134",9.2,73,"D","Lower canopy","White spruce",13.3
"135",9.3,78,"D","Lower canopy","White spruce",8
"136",9.4,122,"BS","Lower canopy","White spruce",3.3
"137",9.5,67,"D","Lower canopy","White spruce",NA
"138",9.6,114,"D","Lower canopy","White spruce",5.3
"139",10,32,"Early recovery","Lower canopy","White spruce",NA
"140",11,199,"BS","Lower canopy","White spruce",NA
"141",11.1,80,"D","Lower canopy","White spruce",NA
"142",11.2,99,"D","Lower canopy","White spruce",27.9
"143",11.3,45,"D","Lower canopy","White spruce",NA
"144",11.4,54,"D","Lower canopy","White spruce",5.41
"145",12,60,"D","Lower canopy","White spruce",3.87
"146",13,76,"D","Lower canopy","White spruce",34.5
"147",13.1,85,"D","Lower canopy","White spruce",2
"148",13.2,85,"D","Lower canopy","White spruce",1.75
"149",14,15,"Early recovery","Lower canopy","White spruce",1.1
"150",14.1,87,"BS","Lower canopy","White spruce",NA
"151",14.2,134,"BS","Lower canopy","White spruce",NA
"152",14.3,65,"BS","Lower canopy","White spruce",12.5
"153",14.4,136,"BS","Lower canopy","White spruce",16.25
"154",14.5,134,"WS","Lower canopy","White spruce",NA
"155",14.6,81,"BS","Lower canopy","White spruce",NA
"156",15,47,"D","Lower canopy","White spruce",12.3
"157",15.1,78,"BS","Lower canopy","White spruce",NA
"158",15.2,83,"BS","Lower canopy","White spruce",NA
"159",15.3,85,"BS","Lower canopy","White spruce",NA
"160",15.4,75,"BS","Lower canopy","White spruce",NA
"161",15.5,80,"BS","Lower canopy","White spruce",NA
"162",15.6,83,"BS","Lower canopy","White spruce",NA
"163",16,3,"recent fire","Lower canopy","White spruce",NA
"164",16.1,118,"D","Lower canopy","White spruce",2.58
"165",16.2,100,"D","Lower canopy","White spruce",2.16
"166",16.3,106,"D","Lower canopy","White spruce",2.16
"167",16.4,68,"D","Lower canopy","White spruce",2.25
"168",16.5,138,"D","Lower canopy","White spruce",2.16
"169",16.6,68,"D","Lower canopy","White spruce",1.75
"170",17,16,"Early recovery","Lower canopy","White spruce",NA
"171",17.1,176,"D","Lower canopy","White spruce",NA
"172",17.2,69,"D","Lower canopy","White spruce",NA
"173",17.3,118,"D","Lower canopy","White spruce",5.5
"174",17.4,136,"D","Lower canopy","White spruce",NA
"175",17.5,148,"D","Lower canopy","White spruce",NA
"176",17.6,72,"D","Lower canopy","White spruce",NA
