"","Site","Site.Age","Forest.Type","Canopy","variable","value"
"506",27.3,85,"BS","Lower canopy","Deciduous",19.26
"507",29.1,65,"WS","Lower canopy","Deciduous",2
"508",29.2,52,"D","Lower canopy","Deciduous",48.36
"509",29.3,52,"WS","Lower canopy","Deciduous",14.3
"510",29.4,105,"WS","Lower canopy","Deciduous",17.5
"511",1,196,"D","Ground","Deciduous",NA
"512",1.1,83,"BS","Ground","Deciduous",NA
"513",1.2,93,"WS","Ground","Deciduous",NA
"514",1.3,158,"WS","Ground","Deciduous",NA
"515",2,35,"D","Ground","Deciduous",NA
"516",2.1,140,"D","Ground","Deciduous",NA
"517",2.2,170,"WS","Ground","Deciduous",NA
"518",3,185,"D","Ground","Deciduous",NA
"519",3.1,128,"D","Ground","Deciduous",NA
"520",3.2,174,"D","Ground","Deciduous",NA
"521",3.3,60,"D","Ground","Deciduous",NA
"522",4,85,"D","Ground","Deciduous",NA
"523",4.1,48,"D","Ground","Deciduous",NA
"524",4.2,60,"D","Ground","Deciduous",NA
"525",4.3,71,"D","Ground","Deciduous",NA
"526",4.4,58,"D","Ground","Deciduous",NA
"527",5,5,"recent fire","Ground","Deciduous",NA
"528",5.5,85,"BS","Ground","Deciduous",NA
"529",5.6,92,"BS","Ground","Deciduous",NA
"530",6,52,"WS","Ground","Deciduous",NA
"531",6.1,77,"D","Ground","Deciduous",NA
"532",6.2,90,"D","Ground","Deciduous",NA
"533",6.3,87,"D","Ground","Deciduous",NA
"534",6.4,89,"D","Ground","Deciduous",NA
"535",7,177,"WS","Ground","Deciduous",NA
"536",7.1,85,"D","Ground","Deciduous",NA
"537",7.2,80,"D","Ground","Deciduous",NA
"538",7.5,102,"BS","Ground","Deciduous",NA
"539",7.6,114,"BS","Ground","Deciduous",NA
"540",8,19,"Early recovery","Ground","Deciduous",NA
"541",9,76,"BS","Ground","Deciduous",NA
"542",9.2,73,"D","Ground","Deciduous",NA
"543",9.3,78,"D","Ground","Deciduous",NA
"544",9.4,122,"BS","Ground","Deciduous",NA
"545",9.5,67,"D","Ground","Deciduous",NA
"546",9.6,114,"D","Ground","Deciduous",NA
"547",10,32,"Early recovery","Ground","Deciduous",NA
"548",11,199,"BS","Ground","Deciduous",NA
"549",11.1,80,"D","Ground","Deciduous",NA
"550",11.2,99,"D","Ground","Deciduous",NA
"551",11.3,45,"D","Ground","Deciduous",NA
"552",11.4,54,"D","Ground","Deciduous",NA
"553",12,60,"D","Ground","Deciduous",NA
"554",13,76,"D","Ground","Deciduous",NA
"555",13.1,85,"D","Ground","Deciduous",NA
"556",13.2,85,"D","Ground","Deciduous",NA
"557",14,15,"Early recovery","Ground","Deciduous",NA
"558",14.1,87,"BS","Ground","Deciduous",NA
"559",14.2,134,"BS","Ground","Deciduous",NA
"560",14.3,65,"BS","Ground","Deciduous",NA
"561",14.4,136,"BS","Ground","Deciduous",NA
"562",14.5,134,"WS","Ground","Deciduous",NA
"563",14.6,81,"BS","Ground","Deciduous",NA
"564",15,47,"D","Ground","Deciduous",NA
"565",15.1,78,"BS","Ground","Deciduous",NA
"566",15.2,83,"BS","Ground","Deciduous",NA
"567",15.3,85,"BS","Ground","Deciduous",NA
"568",15.4,75,"BS","Ground","Deciduous",NA
"569",15.5,80,"BS","Ground","Deciduous",NA
"570",15.6,83,"BS","Ground","Deciduous",NA
"571",16,3,"recent fire","Ground","Deciduous",NA
"572",16.1,118,"D","Ground","Deciduous",NA
"573",16.2,100,"D","Ground","Deciduous",NA
"574",16.3,106,"D","Ground","Deciduous",NA
"575",16.4,68,"D","Ground","Deciduous",NA
"576",16.5,138,"D","Ground","Deciduous",NA
"577",16.6,68,"D","Ground","Deciduous",NA
"578",17,16,"Early recovery","Ground","Deciduous",NA
"579",17.1,176,"D","Ground","Deciduous",NA
"580",17.2,69,"D","Ground","Deciduous",NA
"581",17.3,118,"D","Ground","Deciduous",NA
"582",17.4,136,"D","Ground","Deciduous",NA
"583",17.5,148,"D","Ground","Deciduous",NA
"584",17.6,72,"D","Ground","Deciduous",NA
"585",18,8,"recent fire","Ground","Deciduous",NA
"586",18.1,125,"BS","Ground","Deciduous",NA
"587",18.2,175,"D","Ground","Deciduous",NA
"588",19,60,"D","Ground","Deciduous",NA
"589",20,14,"Early recovery","Ground","Deciduous",NA
"590",20.1,75,"BS","Ground","Deciduous",NA
"591",20.2,63,"BS","Ground","Deciduous",NA
"592",20.3,73,"BS","Ground","Deciduous",NA
"593",21.1,73,"BS","Ground","Deciduous",NA
"594",21.2,106,"BS","Ground","Deciduous",NA
"595",22.1,60,"D","Ground","Deciduous",NA
"596",22.2,70,"WS","Ground","Deciduous",NA
"597",22.3,50,"D","Ground","Deciduous",NA
"598",23.2,83,"D","Ground","Deciduous",NA
"599",23.3,76,"D","Ground","Deciduous",NA
"600",24.1,83,"WS","Ground","Deciduous",NA
"601",24.2,142,"D","Ground","Deciduous",NA
"602",24.3,134,"WS","Ground","Deciduous",NA
"603",25.1,75,"WS","Ground","Deciduous",NA
"604",25.2,94,"D","Ground","Deciduous",NA
"605",25.3,140,"WS","Ground","Deciduous",NA
"606",27.1,84,"BS","Ground","Deciduous",NA
"607",27.2,66,"BS","Ground","Deciduous",NA
"608",27.3,85,"BS","Ground","Deciduous",NA
"609",29.1,65,"WS","Ground","Deciduous",NA
"610",29.2,52,"D","Ground","Deciduous",NA
"611",29.3,52,"WS","Ground","Deciduous",NA
"612",29.4,105,"WS","Ground","Deciduous",NA
"613",1,196,"D","Upper canopy","Black spruce",NA
"614",1.1,83,"BS","Upper canopy","Black spruce",3.3
"615",1.2,93,"WS","Upper canopy","Black spruce",NA
"616",1.3,158,"WS","Upper canopy","Black spruce",NA
"617",2,35,"D","Upper canopy","Black spruce",NA
"618",2.1,140,"D","Upper canopy","Black spruce",17.5
"619",2.2,170,"WS","Upper canopy","Black spruce",NA
"620",3,185,"D","Upper canopy","Black spruce",3.6
"621",3.1,128,"D","Upper canopy","Black spruce",9.16
"622",3.2,174,"D","Upper canopy","Black spruce",NA
"623",3.3,60,"D","Upper canopy","Black spruce",15.91
"624",4,85,"D","Upper canopy","Black spruce",NA
"625",4.1,48,"D","Upper canopy","Black spruce",1.3
"626",4.2,60,"D","Upper canopy","Black spruce",4.16
"627",4.3,71,"D","Upper canopy","Black spruce",NA
"628",4.4,58,"D","Upper canopy","Black spruce",8.75
"629",5,5,"recent fire","Upper canopy","Black spruce",3
"630",5.5,85,"BS","Upper canopy","Black spruce",26.5
"631",5.6,92,"BS","Upper canopy","Black spruce",NA
"632",6,52,"WS","Upper canopy","Black spruce",NA
"633",6.1,77,"D","Upper canopy","Black spruce",NA
"634",6.2,90,"D","Upper canopy","Black spruce",NA
"635",6.3,87,"D","Upper canopy","Black spruce",NA
"636",6.4,89,"D","Upper canopy","Black spruce",NA
"637",7,177,"WS","Upper canopy","Black spruce",NA
"638",7.1,85,"D","Upper canopy","Black spruce",NA
"639",7.2,80,"D","Upper canopy","Black spruce",NA
"640",7.5,102,"BS","Upper canopy","Black spruce",8.75
"641",7.6,114,"BS","Upper canopy","Black spruce",17.167
"642",8,19,"Early recovery","Upper canopy","Black spruce",NA
"643",9,76,"BS","Upper canopy","Black spruce",NA
"644",9.2,73,"D","Upper canopy","Black spruce",NA
"645",9.3,78,"D","Upper canopy","Black spruce",NA
"646",9.4,122,"BS","Upper canopy","Black spruce",NA
"647",9.5,67,"D","Upper canopy","Black spruce",NA
"648",9.6,114,"D","Upper canopy","Black spruce",NA
"649",10,32,"Early recovery","Upper canopy","Black spruce",NA
"650",11,199,"BS","Upper canopy","Black spruce",17.16
"651",11.1,80,"D","Upper canopy","Black spruce",NA
"652",11.2,99,"D","Upper canopy","Black spruce",NA
"653",11.3,45,"D","Upper canopy","Black spruce",1.25
"654",11.4,54,"D","Upper canopy","Black spruce",NA
"655",12,60,"D","Upper canopy","Black spruce",15
"656",13,76,"D","Upper canopy","Black spruce",NA
"657",13.1,85,"D","Upper canopy","Black spruce",NA
"658",13.2,85,"D","Upper canopy","Black spruce",NA
"659",14,15,"Early recovery","Upper canopy","Black spruce",NA
"660",14.1,87,"BS","Upper canopy","Black spruce",44.16
"661",14.2,134,"BS","Upper canopy","Black spruce",33.75
"662",14.3,65,"BS","Upper canopy","Black spruce",37.16
"663",14.4,136,"BS","Upper canopy","Black spruce",18.6
"664",14.5,134,"WS","Upper canopy","Black spruce",NA
"665",14.6,81,"BS","Upper canopy","Black spruce",56.91
"666",15,47,"D","Upper canopy","Black spruce",2.3
"667",15.1,78,"BS","Upper canopy","Black spruce",NA
"668",15.2,83,"BS","Upper canopy","Black spruce",15.58
"669",15.3,85,"BS","Upper canopy","Black spruce",NA
"670",15.4,75,"BS","Upper canopy","Black spruce",43.3
"671",15.5,80,"BS","Upper canopy","Black spruce",NA
"672",15.6,83,"BS","Upper canopy","Black spruce",29.1667
"673",16,3,"recent fire","Upper canopy","Black spruce",1.6
"674",16.1,118,"D","Upper canopy","Black spruce",NA
"675",16.2,100,"D","Upper canopy","Black spruce",NA
"676",16.3,106,"D","Upper canopy","Black spruce",NA
"677",16.4,68,"D","Upper canopy","Black spruce",NA
"678",16.5,138,"D","Upper canopy","Black spruce",NA
"679",16.6,68,"D","Upper canopy","Black spruce",NA
"680",17,16,"Early recovery","Upper canopy","Black spruce",NA
"681",17.1,176,"D","Upper canopy","Black spruce",NA
"682",17.2,69,"D","Upper canopy","Black spruce",NA
"683",17.3,118,"D","Upper canopy","Black spruce",NA
"684",17.4,136,"D","Upper canopy","Black spruce",NA
"685",17.5,148,"D","Upper canopy","Black spruce",NA
"686",17.6,72,"D","Upper canopy","Black spruce",NA
"687",18,8,"recent fire","Upper canopy","Black spruce",1.2
"688",18.1,125,"BS","Upper canopy","Black spruce",2
"689",18.2,175,"D","Upper canopy","Black spruce",2.16
"690",19,60,"D","Upper canopy","Black spruce",NA
"691",20,14,"Early recovery","Upper canopy","Black spruce",NA
"692",20.1,75,"BS","Upper canopy","Black spruce",15.83
"693",20.2,63,"BS","Upper canopy","Black spruce",NA
"694",20.3,73,"BS","Upper canopy","Black spruce",1.6
"695",21.1,73,"BS","Upper canopy","Black spruce",2
"696",21.2,106,"BS","Upper canopy","Black spruce",NA
"697",22.1,60,"D","Upper canopy","Black spruce",NA
"698",22.2,70,"WS","Upper canopy","Black spruce",NA
"699",22.3,50,"D","Upper canopy","Black spruce",NA
"700",23.2,83,"D","Upper canopy","Black spruce",NA
"701",23.3,76,"D","Upper canopy","Black spruce",NA
"702",24.1,83,"WS","Upper canopy","Black spruce",NA
"703",24.2,142,"D","Upper canopy","Black spruce",NA
"704",24.3,134,"WS","Upper canopy","Black spruce",NA
"705",25.1,75,"WS","Upper canopy","Black spruce",NA
"706",25.2,94,"D","Upper canopy","Black spruce",NA
"707",25.3,140,"WS","Upper canopy","Black spruce",NA
"708",27.1,84,"BS","Upper canopy","Black spruce",43.3
"709",27.2,66,"BS","Upper canopy","Black spruce",33.3
"710",27.3,85,"BS","Upper canopy","Black spruce",25.83
"711",29.1,65,"WS","Upper canopy","Black spruce",NA
"712",29.2,52,"D","Upper canopy","Black spruce",NA
"713",29.3,52,"WS","Upper canopy","Black spruce",NA
"714",29.4,105,"WS","Upper canopy","Black spruce",NA
"715",1,196,"D","Lower canopy","Black spruce",NA
"716",1.1,83,"BS","Lower canopy","Black spruce",53.3
"717",1.2,93,"WS","Lower canopy","Black spruce",NA
"718",1.3,158,"WS","Lower canopy","Black spruce",NA
"719",2,35,"D","Lower canopy","Black spruce",NA
"720",2.1,140,"D","Lower canopy","Black spruce",NA
"721",2.2,170,"WS","Lower canopy","Black spruce",NA
"722",3,185,"D","Lower canopy","Black spruce",NA
"723",3.1,128,"D","Lower canopy","Black spruce",26.5
"724",3.2,174,"D","Lower canopy","Black spruce",24.25
"725",3.3,60,"D","Lower canopy","Black spruce",38.33
"726",4,85,"D","Lower canopy","Black spruce",NA
"727",4.1,48,"D","Lower canopy","Black spruce",NA
"728",4.2,60,"D","Lower canopy","Black spruce",14
"729",4.3,71,"D","Lower canopy","Black spruce",15.5
"730",4.4,58,"D","Lower canopy","Black spruce",25.5
"731",5,5,"recent fire","Lower canopy","Black spruce",3
"732",5.5,85,"BS","Lower canopy","Black spruce",27.5
"733",5.6,92,"BS","Lower canopy","Black spruce",31
"734",6,52,"WS","Lower canopy","Black spruce",NA
"735",6.1,77,"D","Lower canopy","Black spruce",NA
"736",6.2,90,"D","Lower canopy","Black spruce",NA
"737",6.3,87,"D","Lower canopy","Black spruce",11.66
"738",6.4,89,"D","Lower canopy","Black spruce",NA
"739",7,177,"WS","Lower canopy","Black spruce",NA
"740",7.1,85,"D","Lower canopy","Black spruce",NA
"741",7.2,80,"D","Lower canopy","Black spruce",19.16
"742",7.5,102,"BS","Lower canopy","Black spruce",48.75
"743",7.6,114,"BS","Lower canopy","Black spruce",NA
"744",8,19,"Early recovery","Lower canopy","Black spruce",NA
"745",9,76,"BS","Lower canopy","Black spruce",22.67
"746",9.2,73,"D","Lower canopy","Black spruce",27.18
"747",9.3,78,"D","Lower canopy","Black spruce",9
"748",9.4,122,"BS","Lower canopy","Black spruce",34.25
"749",9.5,67,"D","Lower canopy","Black spruce",5.4
"750",9.6,114,"D","Lower canopy","Black spruce",NA
"751",10,32,"Early recovery","Lower canopy","Black spruce",NA
"752",11,199,"BS","Lower canopy","Black spruce",35
"753",11.1,80,"D","Lower canopy","Black spruce",27.91
"754",11.2,99,"D","Lower canopy","Black spruce",NA
"755",11.3,45,"D","Lower canopy","Black spruce",15.91
"756",11.4,54,"D","Lower canopy","Black spruce",6.25
"757",12,60,"D","Lower canopy","Black spruce",15.161
"758",13,76,"D","Lower canopy","Black spruce",NA
"759",13.1,85,"D","Lower canopy","Black spruce",NA
"760",13.2,85,"D","Lower canopy","Black spruce",NA
"761",14,15,"Early recovery","Lower canopy","Black spruce",NA
"762",14.1,87,"BS","Lower canopy","Black spruce",25
"763",14.2,134,"BS","Lower canopy","Black spruce",24.16
"764",14.3,65,"BS","Lower canopy","Black spruce",NA
"765",14.4,136,"BS","Lower canopy","Black spruce",15.41
"766",14.5,134,"WS","Lower canopy","Black spruce",4
"767",14.6,81,"BS","Lower canopy","Black spruce",NA
"768",15,47,"D","Lower canopy","Black spruce",2.16
"769",15.1,78,"BS","Lower canopy","Black spruce",25
"770",15.2,83,"BS","Lower canopy","Black spruce",NA
"771",15.3,85,"BS","Lower canopy","Black spruce",16.25
"772",15.4,75,"BS","Lower canopy","Black spruce",11.83
"773",15.5,80,"BS","Lower canopy","Black spruce",17.5
"774",15.6,83,"BS","Lower canopy","Black spruce",16.41
"775",16,3,"recent fire","Lower canopy","Black spruce",1.63
"776",16.1,118,"D","Lower canopy","Black spruce",NA
"777",16.2,100,"D","Lower canopy","Black spruce",NA
"778",16.3,106,"D","Lower canopy","Black spruce",NA
"779",16.4,68,"D","Lower canopy","Black spruce",NA
"780",16.5,138,"D","Lower canopy","Black spruce",NA
"781",16.6,68,"D","Lower canopy","Black spruce",2
"782",17,16,"Early recovery","Lower canopy","Black spruce",NA
"783",17.1,176,"D","Lower canopy","Black spruce",NA
"784",17.2,69,"D","Lower canopy","Black spruce",NA
"785",17.3,118,"D","Lower canopy","Black spruce",NA
"786",17.4,136,"D","Lower canopy","Black spruce",NA
"787",17.5,148,"D","Lower canopy","Black spruce",NA
"788",17.6,72,"D","Lower canopy","Black spruce",NA
"789",18,8,"recent fire","Lower canopy","Black spruce",1.2
"790",18.1,125,"BS","Lower canopy","Black spruce",28.33
"791",18.2,175,"D","Lower canopy","Black spruce",NA
"792",19,60,"D","Lower canopy","Black spruce",NA
"793",20,14,"Early recovery","Lower canopy","Black spruce",NA
"794",20.1,75,"BS","Lower canopy","Black spruce",25
"795",20.2,63,"BS","Lower canopy","Black spruce",51.66
"796",20.3,73,"BS","Lower canopy","Black spruce",48.3
"797",21.1,73,"BS","Lower canopy","Black spruce",39.1599999999999
"798",21.2,106,"BS","Lower canopy","Black spruce",58.33
"799",22.1,60,"D","Lower canopy","Black spruce",NA
"800",22.2,70,"WS","Lower canopy","Black spruce",NA
"801",22.3,50,"D","Lower canopy","Black spruce",NA
"802",23.2,83,"D","Lower canopy","Black spruce",NA
"803",23.3,76,"D","Lower canopy","Black spruce",NA
"804",24.1,83,"WS","Lower canopy","Black spruce",NA
"805",24.2,142,"D","Lower canopy","Black spruce",NA
"806",24.3,134,"WS","Lower canopy","Black spruce",NA
"807",25.1,75,"WS","Lower canopy","Black spruce",NA
"808",25.2,94,"D","Lower canopy","Black spruce",NA
"809",25.3,140,"WS","Lower canopy","Black spruce",NA
"810",27.1,84,"BS","Lower canopy","Black spruce",11.6
"811",27.2,66,"BS","Lower canopy","Black spruce",39.1599999999999
"812",27.3,85,"BS","Lower canopy","Black spruce",29.16
"813",29.1,65,"WS","Lower canopy","Black spruce",NA
"814",29.2,52,"D","Lower canopy","Black spruce",NA
"815",29.3,52,"WS","Lower canopy","Black spruce",NA
"816",29.4,105,"WS","Lower canopy","Black spruce",NA
"817",1,196,"D","Ground","Black spruce",NA
"818",1.1,83,"BS","Ground","Black spruce",NA
"819",1.2,93,"WS","Ground","Black spruce",NA
"820",1.3,158,"WS","Ground","Black spruce",NA
"821",2,35,"D","Ground","Black spruce",NA
"822",2.1,140,"D","Ground","Black spruce",NA
"823",2.2,170,"WS","Ground","Black spruce",NA
"824",3,185,"D","Ground","Black spruce",NA
"825",3.1,128,"D","Ground","Black spruce",NA
"826",3.2,174,"D","Ground","Black spruce",NA
"827",3.3,60,"D","Ground","Black spruce",NA
"828",4,85,"D","Ground","Black spruce",NA
"829",4.1,48,"D","Ground","Black spruce",NA
"830",4.2,60,"D","Ground","Black spruce",NA
"831",4.3,71,"D","Ground","Black spruce",NA
"832",4.4,58,"D","Ground","Black spruce",NA
"833",5,5,"recent fire","Ground","Black spruce",NA
"834",5.5,85,"BS","Ground","Black spruce",NA
"835",5.6,92,"BS","Ground","Black spruce",NA
"836",6,52,"WS","Ground","Black spruce",NA
"837",6.1,77,"D","Ground","Black spruce",NA
"838",6.2,90,"D","Ground","Black spruce",NA
"839",6.3,87,"D","Ground","Black spruce",NA
"840",6.4,89,"D","Ground","Black spruce",NA
"841",7,177,"WS","Ground","Black spruce",NA
"842",7.1,85,"D","Ground","Black spruce",NA
"843",7.2,80,"D","Ground","Black spruce",NA
"844",7.5,102,"BS","Ground","Black spruce",NA
"845",7.6,114,"BS","Ground","Black spruce",NA
"846",8,19,"Early recovery","Ground","Black spruce",NA
"847",9,76,"BS","Ground","Black spruce",NA
"848",9.2,73,"D","Ground","Black spruce",NA
"849",9.3,78,"D","Ground","Black spruce",NA
"850",9.4,122,"BS","Ground","Black spruce",NA
"851",9.5,67,"D","Ground","Black spruce",NA
"852",9.6,114,"D","Ground","Black spruce",NA
"853",10,32,"Early recovery","Ground","Black spruce",NA
"854",11,199,"BS","Ground","Black spruce",NA
"855",11.1,80,"D","Ground","Black spruce",NA
"856",11.2,99,"D","Ground","Black spruce",NA
"857",11.3,45,"D","Ground","Black spruce",NA
"858",11.4,54,"D","Ground","Black spruce",NA
"859",12,60,"D","Ground","Black spruce",NA
"860",13,76,"D","Ground","Black spruce",NA
"861",13.1,85,"D","Ground","Black spruce",NA
"862",13.2,85,"D","Ground","Black spruce",NA
"863",14,15,"Early recovery","Ground","Black spruce",NA
"864",14.1,87,"BS","Ground","Black spruce",NA
"865",14.2,134,"BS","Ground","Black spruce",NA
"866",14.3,65,"BS","Ground","Black spruce",NA
"867",14.4,136,"BS","Ground","Black spruce",NA
"868",14.5,134,"WS","Ground","Black spruce",NA
"869",14.6,81,"BS","Ground","Black spruce",NA
"870",15,47,"D","Ground","Black spruce",NA
"871",15.1,78,"BS","Ground","Black spruce",NA
"872",15.2,83,"BS","Ground","Black spruce",NA
"873",15.3,85,"BS","Ground","Black spruce",NA
"874",15.4,75,"BS","Ground","Black spruce",NA
"875",15.5,80,"BS","Ground","Black spruce",NA
"876",15.6,83,"BS","Ground","Black spruce",NA
"877",16,3,"recent fire","Ground","Black spruce",NA
"878",16.1,118,"D","Ground","Black spruce",NA
"879",16.2,100,"D","Ground","Black spruce",NA
"880",16.3,106,"D","Ground","Black spruce",NA
"881",16.4,68,"D","Ground","Black spruce",NA
"882",16.5,138,"D","Ground","Black spruce",NA
"883",16.6,68,"D","Ground","Black spruce",NA
"884",17,16,"Early recovery","Ground","Black spruce",NA
"885",17.1,176,"D","Ground","Black spruce",NA
"886",17.2,69,"D","Ground","Black spruce",NA
"887",17.3,118,"D","Ground","Black spruce",NA
"888",17.4,136,"D","Ground","Black spruce",NA
"889",17.5,148,"D","Ground","Black spruce",NA
"890",17.6,72,"D","Ground","Black spruce",NA
"891",18,8,"recent fire","Ground","Black spruce",NA
"892",18.1,125,"BS","Ground","Black spruce",NA
"893",18.2,175,"D","Ground","Black spruce",NA
"894",19,60,"D","Ground","Black spruce",NA
"895",20,14,"Early recovery","Ground","Black spruce",NA
"896",20.1,75,"BS","Ground","Black spruce",NA
"897",20.2,63,"BS","Ground","Black spruce",NA
"898",20.3,73,"BS","Ground","Black spruce",NA
"899",21.1,73,"BS","Ground","Black spruce",NA
"900",21.2,106,"BS","Ground","Black spruce",NA
"901",22.1,60,"D","Ground","Black spruce",NA
"902",22.2,70,"WS","Ground","Black spruce",NA
"903",22.3,50,"D","Ground","Black spruce",NA
"904",23.2,83,"D","Ground","Black spruce",NA
"905",23.3,76,"D","Ground","Black spruce",NA
"906",24.1,83,"WS","Ground","Black spruce",NA
"907",24.2,142,"D","Ground","Black spruce",NA
"908",24.3,134,"WS","Ground","Black spruce",NA
"909",25.1,75,"WS","Ground","Black spruce",NA
"910",25.2,94,"D","Ground","Black spruce",NA
"911",25.3,140,"WS","Ground","Black spruce",NA
"912",27.1,84,"BS","Ground","Black spruce",NA
"913",27.2,66,"BS","Ground","Black spruce",NA
"914",27.3,85,"BS","Ground","Black spruce",NA
"915",29.1,65,"WS","Ground","Black spruce",NA
"916",29.2,52,"D","Ground","Black spruce",NA
"917",29.3,52,"WS","Ground","Black spruce",NA
"918",29.4,105,"WS","Ground","Black spruce",NA
"919",1,196,"D","Upper canopy","Herbaceous",NA
"920",1.1,83,"BS","Upper canopy","Herbaceous",NA
"921",1.2,93,"WS","Upper canopy","Herbaceous",NA
"922",1.3,158,"WS","Upper canopy","Herbaceous",NA
"923",2,35,"D","Upper canopy","Herbaceous",NA
"924",2.1,140,"D","Upper canopy","Herbaceous",NA
"925",2.2,170,"WS","Upper canopy","Herbaceous",NA
"926",3,185,"D","Upper canopy","Herbaceous",NA
"927",3.1,128,"D","Upper canopy","Herbaceous",NA
"928",3.2,174,"D","Upper canopy","Herbaceous",NA
"929",3.3,60,"D","Upper canopy","Herbaceous",NA
"930",4,85,"D","Upper canopy","Herbaceous",NA
"931",4.1,48,"D","Upper canopy","Herbaceous",NA
"932",4.2,60,"D","Upper canopy","Herbaceous",NA
"933",4.3,71,"D","Upper canopy","Herbaceous",NA
"934",4.4,58,"D","Upper canopy","Herbaceous",NA
"935",5,5,"recent fire","Upper canopy","Herbaceous",NA
"936",5.5,85,"BS","Upper canopy","Herbaceous",NA
"937",5.6,92,"BS","Upper canopy","Herbaceous",NA
"938",6,52,"WS","Upper canopy","Herbaceous",NA
"939",6.1,77,"D","Upper canopy","Herbaceous",NA
"940",6.2,90,"D","Upper canopy","Herbaceous",NA
"941",6.3,87,"D","Upper canopy","Herbaceous",NA
"942",6.4,89,"D","Upper canopy","Herbaceous",NA
"943",7,177,"WS","Upper canopy","Herbaceous",NA
"944",7.1,85,"D","Upper canopy","Herbaceous",NA
"945",7.2,80,"D","Upper canopy","Herbaceous",NA
"946",7.5,102,"BS","Upper canopy","Herbaceous",NA
"947",7.6,114,"BS","Upper canopy","Herbaceous",NA
"948",8,19,"Early recovery","Upper canopy","Herbaceous",NA
"949",9,76,"BS","Upper canopy","Herbaceous",NA
"950",9.2,73,"D","Upper canopy","Herbaceous",NA
"951",9.3,78,"D","Upper canopy","Herbaceous",NA
"952",9.4,122,"BS","Upper canopy","Herbaceous",NA
"953",9.5,67,"D","Upper canopy","Herbaceous",NA
"954",9.6,114,"D","Upper canopy","Herbaceous",NA
"955",10,32,"Early recovery","Upper canopy","Herbaceous",NA
"956",11,199,"BS","Upper canopy","Herbaceous",NA
"957",11.1,80,"D","Upper canopy","Herbaceous",NA
"958",11.2,99,"D","Upper canopy","Herbaceous",NA
"959",11.3,45,"D","Upper canopy","Herbaceous",NA
"960",11.4,54,"D","Upper canopy","Herbaceous",NA
"961",12,60,"D","Upper canopy","Herbaceous",NA
"962",13,76,"D","Upper canopy","Herbaceous",NA
"963",13.1,85,"D","Upper canopy","Herbaceous",NA
"964",13.2,85,"D","Upper canopy","Herbaceous",NA
"965",14,15,"Early recovery","Upper canopy","Herbaceous",NA
"966",14.1,87,"BS","Upper canopy","Herbaceous",NA
"967",14.2,134,"BS","Upper canopy","Herbaceous",NA
"968",14.3,65,"BS","Upper canopy","Herbaceous",NA
"969",14.4,136,"BS","Upper canopy","Herbaceous",NA
"970",14.5,134,"WS","Upper canopy","Herbaceous",NA
"971",14.6,81,"BS","Upper canopy","Herbaceous",NA
"972",15,47,"D","Upper canopy","Herbaceous",NA
"973",15.1,78,"BS","Upper canopy","Herbaceous",NA
"974",15.2,83,"BS","Upper canopy","Herbaceous",NA
"975",15.3,85,"BS","Upper canopy","Herbaceous",NA
"976",15.4,75,"BS","Upper canopy","Herbaceous",NA
"977",15.5,80,"BS","Upper canopy","Herbaceous",NA
"978",15.6,83,"BS","Upper canopy","Herbaceous",NA
"979",16,3,"recent fire","Upper canopy","Herbaceous",NA
"980",16.1,118,"D","Upper canopy","Herbaceous",NA
"981",16.2,100,"D","Upper canopy","Herbaceous",NA
"982",16.3,106,"D","Upper canopy","Herbaceous",NA
"983",16.4,68,"D","Upper canopy","Herbaceous",NA
"984",16.5,138,"D","Upper canopy","Herbaceous",NA
"985",16.6,68,"D","Upper canopy","Herbaceous",NA
"986",17,16,"Early recovery","Upper canopy","Herbaceous",NA
"987",17.1,176,"D","Upper canopy","Herbaceous",NA
"988",17.2,69,"D","Upper canopy","Herbaceous",NA
"989",17.3,118,"D","Upper canopy","Herbaceous",NA
"990",17.4,136,"D","Upper canopy","Herbaceous",NA
"991",17.5,148,"D","Upper canopy","Herbaceous",NA
"992",17.6,72,"D","Upper canopy","Herbaceous",NA
"993",18,8,"recent fire","Upper canopy","Herbaceous",NA
"994",18.1,125,"BS","Upper canopy","Herbaceous",NA
"995",18.2,175,"D","Upper canopy","Herbaceous",NA
"996",19,60,"D","Upper canopy","Herbaceous",NA
"997",20,14,"Early recovery","Upper canopy","Herbaceous",NA
"998",20.1,75,"BS","Upper canopy","Herbaceous",NA
"999",20.2,63,"BS","Upper canopy","Herbaceous",NA
"1000",20.3,73,"BS","Upper canopy","Herbaceous",NA
"1001",21.1,73,"BS","Upper canopy","Herbaceous",NA
"1002",21.2,106,"BS","Upper canopy","Herbaceous",NA
"1003",22.1,60,"D","Upper canopy","Herbaceous",NA
"1004",22.2,70,"WS","Upper canopy","Herbaceous",NA
"1005",22.3,50,"D","Upper canopy","Herbaceous",NA
"1006",23.2,83,"D","Upper canopy","Herbaceous",NA
"1007",23.3,76,"D","Upper canopy","Herbaceous",NA
"1008",24.1,83,"WS","Upper canopy","Herbaceous",NA
"1009",24.2,142,"D","Upper canopy","Herbaceous",NA
"1010",24.3,134,"WS","Upper canopy","Herbaceous",NA
"1011",25.1,75,"WS","Upper canopy","Herbaceous",NA
"1012",25.2,94,"D","Upper canopy","Herbaceous",NA
"1013",25.3,140,"WS","Upper canopy","Herbaceous",NA
"1014",27.1,84,"BS","Upper canopy","Herbaceous",NA
